acq_date,lat,lon,frp
2026-04-23,37.91922,-121.07217,1.23
2026-04-23,37.9206,-121.07219,1.98
2026-04-23,37.92452,-121.07158,0.8
2026-04-23,37.94151,-122.39266,0.84
2026-04-23,32.59841,-117.01368,1.0
2026-04-23,33.49184,-117.61974,0.66
2026-04-23,33.61179,-117.82346,0.8
2026-04-23,33.7155,-117.71296,1.41
2026-04-23,33.77642,-118.23749,0.98
2026-04-23,33.79233,-117.47573,0.94
2026-04-23,33.8156,-118.23663,0.74
2026-04-23,33.82087,-118.24571,1.92
2026-04-23,33.85118,-118.33058,0.88
2026-04-23,33.8764,-117.00087,0.42
2026-04-23,33.92965,-117.83989,0.91
2026-04-23,33.93381,-117.83878,0.6
2026-04-23,34.14332,-117.42886,0.36
2026-04-23,34.15281,-118.19223,0.73
2026-04-23,34.29092,-118.80435,0.81
2026-04-23,34.33548,-118.52236,1.02
2026-04-23,34.33558,-118.51892,1.61
2026-04-23,34.60656,-117.33541,0.79
2026-04-23,34.62226,-117.09932,0.7
2026-04-23,34.62304,-117.10155,0.89
2026-04-23,36.08524,-119.9093,0.07
2026-04-23,36.87303,-119.30644,3.09
2026-04-23,36.87751,-119.29746,2.53
2026-04-23,32.98099,-116.59277,174.81
2026-04-23,32.98185,-116.58819,137.84
2026-04-23,33.39918,-117.47462,7.22
2026-04-23,34.21437,-116.95605,16.79
2026-04-23,36.05065,-120.99328,3.81
2026-04-23,36.05172,-120.9884,5.11
2026-04-23,36.05592,-120.98996,7.13
2026-04-23,36.41083,-119.67229,3.34
2026-04-23,37.90867,-121.24815,2.11
2026-04-23,38.76483,-119.95866,9.07
2026-04-23,39.33792,-121.33907,4.82
2026-04-23,39.33841,-121.34087,4.98
2026-04-23,39.4669,-121.5107,3.56
2026-04-24,36.35727,-114.91315,1.54
2026-04-24,32.59908,-117.01225,0.48
2026-04-24,32.59925,-117.01334,0.35
2026-04-24,32.97953,-116.59009,1.75
2026-04-24,32.97974,-116.59284,1.75
2026-04-24,32.9822,-116.5895,2.63
2026-04-24,32.98244,-116.59242,2.63
2026-04-24,32.9847,-116.59014,1.75
2026-04-24,33.49307,-117.61788,0.42
2026-04-24,33.61218,-117.82374,0.77
2026-04-24,33.79255,-117.47547,0.87
2026-04-24,33.79336,-117.47607,0.8
2026-04-24,33.85129,-118.33193,1.16
2026-04-24,33.90784,-118.4116,1.0
2026-04-24,33.93268,-117.8401,0.55
2026-04-24,34.15217,-118.19525,0.77
